,video_id,scene_id,duration
74,52,006,15.497
75,52,007,15.393
76,52,008,16.058
77,52,009,15.289
78,52,010,15.538
79,52,011,15.726
80,52,012,15.351
182,53,001,29.498
183,53,002,30.431
184,53,003,30.188
185,53,004,29.924
186,53,005,30.472
645,54,001,20.054
646,54,002,20.155
647,54,003,20.457
648,54,004,20.457
649,54,005,21.402
650,54,006,18.888
651,54,007,21.241
652,54,008,19.552
653,54,009,20.376
654,54,011,19.431
655,54,012,20.497
656,55,001,20.565
657,55,002,20.264
658,55,003,19.843
659,55,004,20.344
660,55,005,20.144
661,55,006,20.846
639,56,001,16.396
640,56,002,20.06
641,56,003,40.279
642,56,004,20.26
643,56,005,20.34
644,56,006,27.107
445,57,001,15.485
446,57,002,15.206
447,57,003,15.245
448,57,004,15.186
449,57,005,15.146
450,57,006,15.485
451,57,007,15.545
452,57,009,15.206
229,58,001,20.224
230,58,002,19.925
231,58,003,20.444
232,58,004,20.404
233,58,005,20.624
234,58,006,19.885
235,58,007,40.348
236,58,008,20.424
255,58,009,20.844
195,58,010,19.585
196,58,011,20.304
197,59,003,21.221
198,59,004,21.453
199,59,005,21.305
200,59,006,22.252
256,59,007,41.474
272,60,012,20.448
273,61,001,20.011
274,61,002,20.191
275,61,003,20.391
257,61,004,16.325
187,61,006,20.071
188,61,007,20.291
189,61,008,20.431
190,61,009,20.251
191,61,010,20.291
192,61,011,20.251
193,61,012,20.471
194,61,013,20.171
328,62,002,19.681
329,62,003,20.384
330,62,004,19.882
331,62,005,20.324
332,62,006,20.424
333,62,007,20.304
334,62,008,20.424
335,62,009,20.424
336,62,010,20.023
352,63,003,16.109
353,63,004,16.13
354,63,005,15.731
258,63,006,16.592
355,63,007,15.521
356,63,008,17.348
357,63,009,16.508
358,63,010,15.248
359,63,011,16.76
360,63,012,17.642
361,63,013,15.416
362,63,014,15.689
363,63,015,18.86
385,64,003,20.941
386,64,004,21.106
387,64,005,21.416
388,64,006,20.465
389,64,007,20.713
390,64,008,20.672
391,64,009,20.982
392,64,010,20.837
393,64,011,20.775
259,64,012,20.961
394,65,002,20.843
395,65,003,26.134
396,65,004,21.064
397,65,005,20.362
398,65,006,20.563
399,65,007,20.863
260,65,008,19.761
662,65,009,20.202
663,66,001,20.673
664,66,002,21.411
665,66,003,19.556
261,66,004,19.336
400,66,005,40.208
401,66,007,24.823
402,66,008,19.236
403,66,009,21.292
404,66,010,25.781
405,66,011,24.983
406,66,012,25.043
407,66,013,20.872
408,67,001,20.505
409,67,002,20.305
410,67,003,19.743
411,67,004,19.863
412,67,005,20.666
413,67,006,20.024
414,67,007,20.586
415,67,008,20.325
416,67,009,20.325
417,67,010,20.345
479,68,001,22.128
480,68,002,18.769
481,68,003,22.189
482,68,004,20.358
483,68,005,20.519
484,68,006,19.171
485,68,007,20.036
486,68,008,20.298
487,69,001,22.095
488,69,002,23.818
489,69,003,29.466
490,69,004,20.092
491,69,005,26.121
62,70,001,20.145
63,70,002,20.485
463,70,003,20.525
573,70,004,24.099
574,70,005,20.145
575,70,006,19.007
576,70,007,19.886
577,70,008,20.465
578,70,009,19.546
579,70,010,21.383
580,71,001,22.152
581,71,002,18.536
464,71,003,19.096
337,71,004,32.898
338,71,009,84.491
339,71,010,23.889
340,72,002,19.98
465,72,003,20.22
245,72,004,20.36
246,72,005,20.2
247,72,006,20.32
248,72,007,20.36
249,72,008,20.28
250,72,009,20.14
251,72,010,20.36
252,72,011,20.92
253,72,012,19.66
254,73,001,20.551
466,73,002,20.192
418,73,003,20.312
419,73,004,24.083
420,73,005,19.713
421,73,006,16.661
422,73,007,20.631
423,73,008,17.099
424,73,009,21.609
425,74,001,21.224
426,74,002,18.837
467,74,003,19.078
582,74,004,20.542
583,74,005,21.184
584,74,006,18.997
585,74,007,20.723
586,74,008,20.321
587,74,009,20.0
588,74,010,20.863
589,75,001,20.589
468,75,002,20.07
364,75,003,25.038
365,75,004,21.227
366,75,005,18.395
367,75,006,21.148
368,75,007,22.105
369,75,008,19.891
370,75,009,21.926
371,75,010,17.098
152,76,003,15.826
153,76,004,15.826
154,76,005,15.558
155,76,006,15.784
156,76,007,15.846
157,76,008,15.497
158,76,009,15.764
159,76,010,15.805
160,76,011,31.404
161,76,012,32.021
162,76,013,15.497
469,76,014,15.291
276,77,001,19.862
277,77,002,20.463
278,77,003,20.163
279,77,004,20.343
280,77,005,20.203
281,77,006,20.343
282,77,007,20.263
283,77,008,20.403
470,77,009,20.203
666,78,002,20.975
667,78,003,20.427
668,78,004,20.589
669,78,005,21.238
670,78,006,20.123
471,78,007,20.467
671,78,008,20.346
672,78,009,20.224
673,78,010,19.94
674,79,001,19.97
675,79,002,20.191
676,79,003,19.89
472,79,004,20.191
597,79,005,20.191
598,79,006,20.551
599,79,007,30.286
600,79,008,30.386
601,79,009,20.291
602,79,010,20.351
81,80,002,15.705
82,80,003,15.058
83,80,004,16.917
84,80,006,16.687
85,80,007,16.708
86,80,008,15.225
87,80,009,16.311
474,80,010,18.253
237,81,001,24.257
238,81,002,25.034
239,81,003,19.852
240,81,004,20.529
241,81,005,20.191
242,81,006,25.632
243,81,007,17.879
244,82,001,15.584
475,82,002,15.086
201,82,003,15.166
202,82,004,15.485
203,82,005,15.624
204,82,006,15.086
205,82,008,15.186
206,82,009,15.345
207,82,010,15.186
208,82,011,15.146
209,82,012,15.505
677,83,002,20.5
678,83,003,24.859
679,83,005,17.018
680,83,006,18.79
681,83,007,23.232
682,83,008,24.963
683,83,009,19.499
684,83,010,21.543
476,84,001,20.749
341,84,002,19.97
342,84,003,25.322
343,84,004,21.667
344,84,005,22.246
345,84,006,34.727
346,85,001,23.026
347,85,002,22.045
348,85,003,23.626
349,85,004,22.806
350,85,005,16.238
351,85,006,19.442
